#name, A, B, C, D, E, F
FJ151394/1999/USA/NY/New_York/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000086, 8.90354417218177e-11, 1.995325260380309e-05, 1.3503974479481733e-09, 0.9999800209396764, 6.948251816350451e-10, 2.367346172355873e-08
KX547210/2001/USA/NY/Nassau/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000087, 8.916875283860576e-11, 2.0609529523177485e-05, 1.3523595091713341e-09, 0.9999793645783303, 6.957114353102347e-10, 2.3754906874849016e-08
NODE_0000089, 8.889552320927285e-11, 1.927375255890894e-05, 1.3484084825539383e-09, 0.999980700524615, 6.939220181498149e-10, 2.3591600332467193e-08
AF533540/2001/USA/NY/Nassau/NY99/unknown/Human, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KJ786934/2001/USA/NY/Unknown/NY99/unknown/Human, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000102, 8.903543342688936e-11, 1.9953196746172394e-05, 1.3503974162084804e-09, 0.9999800209955343, 6.948251610695856e-10, 2.3673461516672827e-08
HQ671696/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000090, 8.903197422348435e-11, 1.993005868135898e-05, 1.3503823398504411e-09, 0.9999800441339772, 6.948160114185635e-10, 2.3673111248019633e-08
HQ671717/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Aedes, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000104, 8.902851359277774e-11, 1.9906920636801357e-05, 1.3503672489339841e-09, 0.9999800672723996, 6.948068542031958e-10, 2.3672760751095576e-08
HQ671716/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culiseta, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000105, 8.889194418610282e-11, 1.9250588475357823e-05, 1.348392946372832e-09, 0.9999807236890799, 6.939125689471376e-10, 2.3591247337461326e-08
HM488135/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
HM488134/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000025, 1.659707143837464e-17, 2.5749487821355303e-08, 1.8633531510912534e-15, 0.9999999742502474, 5.999072164113114e-16, 2.6232511584770224e-13
AF404756/2000/USA/NY/Rockland/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000027, 8.875269903807173e-11, 1.8595130022780432e-05, 1.346408126653487e-09, 0.9999813792321326, 6.930115431610853e-10, 2.350967218381715e-08
HQ671711/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
HM488130/2000/USA/CT/New_Haven/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000030, 8.889264112575847e-11, 1.9252307230557474e-05, 1.3483951202418585e-09, 0.99998072197031, 6.939141499828253e-10, 2.3591257597907265e-08
KJ501515/2001/USA/NJ/Middlesex/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000031, 8.903233341929436e-11, 1.993245507789152e-05, 1.3503837118768172e-09, 0.9999800417375668, 6.948168998668502e-10, 2.3673122429262873e-08
HM488249/2001/USA/NY/Unknown/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000115, 8.917879952070311e-11, 2.0678993709720904e-05, 1.3524034766573892e-09, 0.9999792951130195, 6.957380605083545e-10, 2.3755950360222746e-08
NODE_0000036, 8.916898622866405e-11, 2.0611132078413734e-05, 1.352360397136506e-09, 0.9999793629757662, 6.957120108408509e-10, 2.3754914125871272e-08
NODE_0000121, 8.889553132636328e-11, 1.9273805393012725e-05, 1.348408513592938e-09, 0.9999807004717804, 6.939220382708156e-10, 2.359160053366328e-08
KJ501278/2001/USA/PA/Unknown/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
KJ501277/2001/USA/PA/Philadelphia/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000038, 8.889553132636328e-11, 1.9273805393012725e-05, 1.348408513592938e-09, 0.9999807004717804, 6.939220382708156e-10, 2.359160053366328e-08
KX547251/2002/USA/NY/Rockland/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
KX547490/2002/USA/NY/Chemung/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000123, 8.916898622866405e-11, 2.0611132078413734e-05, 1.352360397136506e-09, 0.9999793629757662, 6.957120108408509e-10, 2.3754914125871272e-08
NODE_0000129, 8.889553132636328e-11, 1.9273805393012725e-05, 1.348408513592938e-09, 0.9999807004717804, 6.939220382708156e-10, 2.359160053366328e-08
KJ501486/2001/USA/NJ/Mercer/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
KJ501450/2002/USA/PA/Unknown/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000130, 8.889553132636328e-11, 1.9273805393012725e-05, 1.348408513592938e-09, 0.9999807004717804, 6.939220382708156e-10, 2.359160053366328e-08
