"strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"DQ431704/2004/USA/CO/Mesa/SW03/unknown/Human","DQ431704",2004-08-01,2004,"USA","CO","Mesa","CO/Mesa","CO/Mesa","CO/Mesa","SW03","unknown","Human"
"DQ431705/2004/USA/ND/Burleigh/WN02/unknown/Human","DQ431705",2004-08-01,2004,"USA","ND","Not CO","ND/Burleigh","ND/Burleigh","ND/Burleigh","WN02","unknown","Human"
"DQ431706/2004/USA/NM/Bernalillo/SW03/unknown/Human","DQ431706",2004-08-01,2004,"USA","NM","Not CO","NM/Bernalillo","NM/Bernalillo","NM/Bernalillo","SW03","unknown","Human"
"DQ431707/2004/USA/NM/Bernalillo/SW03/unknown/Human","DQ431707",2004-08-01,2004,"USA","NM","Not CO","NM/Bernalillo","NM/Bernalillo","NM/Bernalillo","SW03","unknown","Human"
"DQ431708/2004/USA/CA/San_Diego/WN02/unknown/Human","DQ431708",2004-07-16,2004,"USA","CA","Not CO","CA/San_Diego","CA/San_Diego","CA/San_Diego","WN02","unknown","Human"
"DQ431709/2004/USA/CA/Los_Angeles/WN02/unknown/Human","DQ431709",2004-07-16,2004,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Human"
"DQ431710/2004/USA/CA/Los_Angeles/WN02/unknown/Human","DQ431710",2004-07-31,2004,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Human"
"DQ431711/2004/USA/AZ/Maricopa/SW03/unknown/Human","DQ431711",2004-08-01,2004,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","SW03","unknown","Human"
"DQ431712/2004/USA/AZ/Maricopa/SW03/unknown/Human","DQ431712",2004-08-01,2004,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","SW03","unknown","Human"
"DQ666448/2004/USA/AZ/Yavapai/SW03/unknown/Human","DQ666448",2004-08-01,2004,"USA","AZ","Not CO","AZ/Yavapai","AZ/Yavapai","AZ/Yavapai","SW03","unknown","Human"
"DQ666449/2005/USA/TX/Concho/SW03/unknown/Human","DQ666449",2005-08-01,2005,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","SW03","unknown","Human"
"DQ666450/2005/USA/TX/Concho/WN02/unknown/Human","DQ666450",2005-08-01,2005,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","WN02","unknown","Human"
"DQ666451/2005/USA/AZ/Yavapai/SW03/unknown/Human","DQ666451",2005-08-01,2005,"USA","AZ","Not CO","AZ/Yavapai","AZ/Yavapai","AZ/Yavapai","SW03","unknown","Human"
"DQ666452/2005/USA/SD/Stanley/SW03/unknown/Human","DQ666452",2005-08-01,2005,"USA","SD","Not CO","SD/Stanley","SD/Stanley","SD/Stanley","SW03","unknown","Human"
"DQ983578/2003/USA/FL/Indian_River/NY99/unknown/Mosquito-Culex","DQ983578",2003-08-01,2003,"USA","FL","Not CO","FL/Indian_River","FL/Indian_River","FL/Indian_River","NY99","unknown","Mosquito-Culex"
"FJ151394/1999/USA/NY/New_York/NY99/unknown/Bird-crow","FJ151394",1999-08-01,1999,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"GQ507468/2005/USA/TX/El_Paso/SW03/unknown/Human","GQ507468",2005-08-03,2005,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","SW03","unknown","Human"
"GQ507469/2005/USA/NM/Dona_Ana/SW03/unknown/Human","GQ507469",2005-09-01,2005,"USA","NM","Not CO","NM/Dona_Ana","NM/Dona_Ana","NM/Dona_Ana","SW03","unknown","Human"
"GQ507470/2006/USA/TX/El_Paso/SW03/unknown/Human","GQ507470",2006-08-30,2006,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","SW03","unknown","Human"
"GQ507471/2007/USA/TX/El_Paso/SW03/unknown/Human","GQ507471",2007-06-23,2007,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","SW03","unknown","Human"
"GQ507472/2003/USA/CA/Orange/WN02/unknown/Human","GQ507472",2003-07-14,2003,"USA","CA","Not CO","CA/Orange","CA/Orange","CA/Orange","WN02","unknown","Human"
